topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,8,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5386
campus_topo_200b-20h-20ibl.json,8,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5641
campus_topo_200b-20h-20ibl.json,8,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,588.6175,8.85366512103e+18,0.68875,-1.42627391268e+18,0.562
campus_topo_200b-20h-20ibl.json,8,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.541
campus_topo_200b-20h-20ibl.json,8,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.56665
campus_topo_200b-20h-20ibl.json,8,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,588.6175,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5661
campus_topo_200b-20h-20ibl.json,8,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.48295625
campus_topo_200b-20h-20ibl.json,8,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4674625
campus_topo_200b-20h-20ibl.json,8,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,588.6175,8.85366512103e+18,0.68875,-1.42627391268e+18,0.48650625
campus_topo_200b-20h-20ibl.json,8,min,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,585.1415,8.85366512103e+18,0.68875,-1.42627391268e+18,0.28475
campus_topo_200b-20h-20ibl.json,8,min,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.808,8.85366512103e+18,0.68875,-1.42627391268e+18,0.2777
