choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,red-blue,596.15,networkx,8853665121027057643,0.1,200,400,4,0.745,8021,-1426273912677557294,0.665625,1,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,592.75,networkx,8853665121027057643,0.1,200,400,4,0.81,8019,-1426273912677557294,0.7275,2,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,580.95,networkx,8853665121027057643,0.1,200,400,4,0.785,7837,-1426273912677557294,0.381875,3,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,590.85,networkx,8853665121027057643,0.1,200,400,4,0.75,7973,-1426273912677557294,0.525625,4,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,586.65,networkx,8853665121027057643,0.1,200,400,4,0.8425,7917,-1426273912677557294,0.768125,5,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,595.0,networkx,8853665121027057643,0.1,200,400,4,0.7825,8006,-1426273912677557294,0.6225,6,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,593.65,networkx,8853665121027057643,0.1,200,400,4,0.805,8007,-1426273912677557294,0.71875,7,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,594.8,networkx,8853665121027057643,0.1,200,400,4,0.7875,7976,-1426273912677557294,0.713125,8,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,590.95,networkx,8853665121027057643,0.1,200,400,4,0.7975,7901,-1426273912677557294,0.675625,9,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,593.05,networkx,8853665121027057643,0.1,200,400,4,0.805,7987,-1426273912677557294,0.615,10,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
